Rule 1: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 2: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 3: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 4: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 5: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 6: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 7: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 8: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 9: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 10: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 11: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 12: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 13: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 14: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 15: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 16: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 17: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 18: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 19: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 20: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 21: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 22: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 23: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 24: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 25: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 26: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 27: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 28: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 29: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 30: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 31: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 32: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 33: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 34: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 35: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 36: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 37: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 38: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 39: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 40: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 41: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 42: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 43: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 44: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 45: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 46: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 47: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 48: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
